Empresa,Nicho,Site,WhatsApp,Instagram,Google_Maps,Territorio,Status,Notas,WebsiteQuality,Link_WhatsApp
Dra. Izabele Sizo Urgência Odontológica 24 horas,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,91983839636,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Dra.+Izabele+Sizo+Urg%C3%AAncia+Odontol%C3%B3gica+24+horas/@-1.4162523,-48.5172663,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92a48d002476905d:0x3f7f8f6a6093cef!8m2!3d-1.4442596!4d-48.4678991!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOR0xXVllRV3AzUlJBQuABAPoBBAggEEg!16s%2Fg%2F11ydbtvbq6?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091983839636
CSB Centro Saúde Bucal,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,9132494764,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/CSB+Centro+Sa%C3%BAde+Bucal/@-1.4581969,-48.5340734,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92a48e8a55ca6efd:0x1f881b1052b7d729!8m2!3d-1.4581969!4d-48.4959646!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQ2NqZExWVGRSUlJBQuABAPoBBQiJARAr!16s%2Fg%2F1v3lr0m7?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/5509132494764
Vamos Sorrir - Belém,Clinica Odontologica,https://vamossorrir.com.br/,9131198737,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Vamos+Sorrir+-+Bel%C3%A9m/@-1.4581969,-48.5340734,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92a48f494f95ea85:0x3e67498ac3a451f6!8m2!3d-1.4492975!4d-48.4981384!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgEHZGVudGlzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydGFVMDF1VGxwYWVscFJaRWRrV1ZGVk1VZFJiR3N5WW14U1ZWZHRZeEFC4AEA-gEECDMQKg!16s%2Fg%2F11srrgzqh2?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/5509131198737
COB - Clínica Odontológica de Belém,Clínica Odontológica,https://www.cobbelem.com.br/,091989849899,Não encontrado,"https://www.google.com.br/maps/place/COB+-+Cl%C3%ADnica+Odontol%C3%B3gica+de+Bel%C3%A9m/@-1.4590566,-48.5690634,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48fea0c2d68d1:0xd12565221b7a72c0!8m2!3d-1.4590566!4d-48.4928457!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDWjNSVWNVMTNFQUXgAQD6AQQIFBBE!16s%2Fg%2F11h_x59c0y?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091989849899
dra valeria oliveira,Clínica Odontológica,http://dentistadravaleriaoliveira.com.br/,091981920321,Não encontrado,"https://www.google.com.br/maps/place/dra+valeria+oliveira/@-1.4590566,-48.5690634,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48c25e25a078f:0x84f76d054bccac13!8m2!3d-1.4514713!4d-48.4736112!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQdkZW50aXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJxTm1GSVUyVm5FQUXgAQD6AQQIJhA2!16s%2Fg%2F11l6yn3hsb?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091981920321
Clidente Clínica Odontológica,Clínica Odontológica,https://clidente.com.br/,09132377765,Não encontrado,"https://www.google.com.br/maps/place/Clidente+Cl%C3%ADnica+Odontol%C3%B3gica/@-1.4590566,-48.5690634,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48db0474d1de7:0x7b771d61d7a35ee9!8m2!3d-1.4488667!4d-48.4728303!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4xZEdOVWJUSm5SUkFC4AEA-gEECAAQRg!16s%2Fg%2F11q88vt_bf?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/5509132377765
Clínica EquipeDente | Invisalign | Implante Dentário | Nazaré | Belém - PA,Clínica Odontológica,http://www.clinicaequipedente.com.br/,09131971125,https://www.instagram.com/clinicaequipedente/,"https://www.google.com.br/maps/place/Cl%C3%ADnica+EquipeDente+%7C+Invisalign+%7C+Implante+Dent%C3%A1rio+%7C+Nazar%C3%A9+%7C+Bel%C3%A9m+-+PA/@-1.4590566,-48.5690634,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48e9cbdeff7eb:0x1b81659aa58f317b!8m2!3d-1.4515353!4d-48.4830509!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJ2ZGxCaU5uUm5SUkFC4AEA-gEECHUQRA!16s%2Fg%2F1tdnxzys?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Não,,https://wa.me/5509131971125
Clínica ReinaOdonto,Clínica Odontológica,https://paradentes.com.br/,091988107778,Não encontrado,"https://www.google.com.br/maps/place/Par%C3%A1+Dentes+-+Cabanagem+-+Cl%C3%ADnica+Odontol%C3%B3gica/@-1.3687066,-48.5115103,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a4611fd467c59b:0xddce59a4323fc41e!8m2!3d-1.3687066!4d-48.4352926!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4WmVtVkdSazlqYWxwcVZFVkZNVmR1Y0hsa1JsSlRWakJLUmxOWFl4QULgAQD6AQQIABAr!16s%2Fg%2F11twkmq3y3?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091988107778
Pará Dentes - Matriz - Clínica Odontológica,Clínica Odontológica,https://paradentes.com.br/,091981193140,Não encontrado,"https://www.google.com.br/maps/place/Par%C3%A1+Dentes+-+Matriz+-+Cl%C3%ADnica+Odontol%C3%B3gica/@-1.3687066,-48.5115103,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48bfedb2e65ad:0x1b70c8aba60ebe5c!8m2!3d-1.4022422!4d-48.4325943!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwb1MxbHNjSE5STWtsM1ZVZHNUbUpYU25CaWVsWnpVbXMxTlUxRlJSQULgAQD6AQQIABAy!16s%2Fg%2F11g1wb719h?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091981193140
Oralfy Belém | Implante | Invisalign | Dentista em Belém,Clínica Odontológica,https://oralfybelem.com.br/,091981336575,Não encontrado,"https://www.google.com.br/maps/place/Oralfy+Bel%C3%A9m+%7C+Implante+%7C+Invisalign+%7C+Dentista+em+Bel%C3%A9m/@-1.4384925,-48.5654282,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48f06e8906f35:0xae63b6a8d1da756a!8m2!3d-1.4384925!4d-48.4892105!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQdkZW50aXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5pWDA1bFVGWlJFQUXgAQD6AQQIRRA8!16s%2Fg%2F11k56dftg5?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091981336575
Tudo Odonto Belém,Clínica Odontológica,https://www.tudoodonto.com.br/,091982622250,Não encontrado,"https://www.google.com.br/maps/place/Tudo+Odonto+Bel%C3%A9m/@-1.4384925,-48.5654282,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48b811b0ffaf7:0x1db5ed326ff0ee08!8m2!3d-1.4589694!4d-48.4932648!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ1YW1VMk1HTkJFQUXgAQD6AQQIQxAk!16s%2Fg%2F11rp70zsct?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091982622250
Oral Clínica,Clínica Odontológica,https://oralclinicabelem.com.br/implantes/,091992829511,Não encontrado,"https://www.google.com.br/maps/place/Oral+Cl%C3%ADnica/@-1.4384925,-48.5654282,13z/data=!4m10!1m2!2m1!1zQ2zDrW5pY2EgT2RvbnRvbMOzZ2ljYSBlbSBCZWzDqW0sIFBB!3m6!1s0x92a48c2c8967d6c1:0x934ab06537c22a2!8m2!3d-1.4575136!4d-48.4725841!15sCiRDbMOtbmljYSBPZG9udG9sw7NnaWNhIGVtIEJlbMOpbSwgUEFaJSIjY2zDrW5pY2Egb2RvbnRvbMOzZ2ljYSBlbSBiZWzDqW0gcGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEzWjNWVE5GSkJFQUXgAQD6AQUIpgEQRg!16s%2Fg%2F1ptyg9s71?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",,Pendente,Oportunidade,,https://wa.me/55091992829511
