Empresa,Nicho,Site,WhatsApp,Instagram,Google_Maps,Territorio,Status,Notas,WebsiteQuality,Link_WhatsApp
Valluri Clinic,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,09137292211,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Valluri+Clinic/@-2.9995329,-47.3602422,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75da7bca3b691:0x3e09c8688993a275!8m2!3d-2.9995618!4d-47.3547568!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTllMWFEzZVVaUkVBReABAPoBBAgAED8!16s%2Fg%2F11hz2rg7lx?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/5509137292211
Ortocenter Odontologia,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091981171193,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Ortocenter+Odontologia/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75df14d4ece35:0x46b42583b4c5fa3d!8m2!3d-2.991865!4d-47.3562181!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVXVEZOVldtOU5ha1V5WWpKV01XUjZiRXhOVm1kMFRWVXhUR1ZyUlJBQuABAPoBBAgAEBI!16s%2Fg%2F11c60ml1kk?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091981171193
Life Odonto Paragominas,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091992271023,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Life+Odonto+Paragominas/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75db3f8fabd87:0x3a0b639690d0e91e!8m2!3d-2.9939127!4d-47.3548313!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhPZUZwV1NYaFBTRXAzVFVaQ2Qxa3dlRlpqUjBaelVtcG9lazlJWXhBQuABAPoBBAgAEEg!16s%2Fg%2F11rk_mr1_l?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091992271023
Oral Sin Implantes Paragominas,Clinica Odontologica,https://www.oralsinparagominas.com.br/,091991094753,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Oral+Sin+Implantes+Paragominas/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b767186d2a4331:0xd0135fecd17c9125!8m2!3d-2.9969181!4d-47.3576065!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTldMWEZJY0RKM1JSQULgAQD6AQQIABBA!16s%2Fg%2F11nmt853f8?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091991094753
Life Odonto Paragominas,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091992271023,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Life+Odonto+Paragominas/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75dbfa5f8d9e3:0x7468d5ca042699f0!8m2!3d-2.9938739!4d-47.3549054!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQZIBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F11x_71_jpp?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091992271023
Dente a Dente Paragominas,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091992033793,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Dente+a+Dente+Paragominas/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b767fe8500fd99:0xb750e07f3ee6a368!8m2!3d-2.9941312!4d-47.3583762!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASNDaFpEU1VoTk1HOW5TMFZOV0RablkzcE9lVFYyUkVsUkVBReABAPoBBAgNEDI!16s%2Fg%2F11ngw8q74n?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091992033793
Consultório Odontológico | Dr. Vicente Amaral,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091981598747,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Consult%C3%B3rio+Odontol%C3%B3gico+%7C+Dr.+Vicente+Amaral/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b767c66ef45109:0xd249f359709d798a!8m2!3d-2.9979013!4d-47.3527049!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVHTVdKNlRrNVBSVnBQVkdzMVNWZ3lhM3BpTWs1RVYydDBkazR6WXhBQuABAPoBBAhbED4!16s%2Fg%2F11yycvxzqq?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091981598747
Arte Oral Odontologia Avançada,Clinica Odontologica,http://www.arteoralodontologia.com.br/,091991251017,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Arte+Oral+Odontologia+Avan%C3%A7ada/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75df642e7564b:0x5c66e8cfde614521!8m2!3d-2.9947257!4d-47.3571156!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnFibVY2ZEVabkVBReABAPoBBAgAECg!16s%2Fg%2F1td66d5k?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091991251017
Coife Odonto Paragominas,Clinica Odontologica,https://coifeodonto.com.br/,091993426250,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Coife+Odonto+Paragominas/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75df6609cac39:0x8d1144cd61ca4d1b!8m2!3d-2.9940573!4d-47.3570723!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBhWE4xVERGblJSQULgAQD6AQQIRxAN!16s%2Fg%2F11bccgdr9l?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091993426250
Coife Odonto Paragominas,Clinica Odontologica,https://coifeodonto.com.br/,091993426250,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Coife+Odonto+Paragominas/@-2.991865,-47.3657453,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75df6609cac39:0x8d1144cd61ca4d1b!8m2!3d-2.9940573!4d-47.3570723!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBhWE4xVERGblJSQULgAQD6AQQIRxAN!16s%2Fg%2F11bccgdr9l?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091993426250
